68
15,0,10
0,15,15
-10,10,15
-25,5,10
-30,0,-5
-30,0,-20
-40,5,-30
-55,10,-30
-65,10,-20
-70,5,-5
-70,20,-5
-70,20,5
-70,10,15
-65,0,30
-55,-15,40
-45,-16,50
-25,-15,40
-25,-16,40
-15,-15,40
-5,-10,40
5,-5,40
15,-2.5,40
25,0,35
30,2.5,25
40,5,20
50,7,25
55,10,35
50,12.5,45
40,15,50
30,17.5,45
25,20,35
30,22.5,25
40,25,20
50,27.5,25
55,30,35
50,32.5,45
40,35,50
30,35,45
25,40,35
30,42.5,25
40,45,20
50,47.5,25
55,50,35
50,52.5,45
40,55,50
30,57.5,45
25,60,35
30,60,25
40,60,25
50,60,25
60,60,25
70,0,20
80,0,12
80,0,2
70,0,-5
60,0,-5
50,10,-5
40,20,-10
30,20,-15
20,10,-25
20,0,-35
30,-10,-40
40,-15,-40
50,-20,-35
50,-15,-30
40,-10,-20
30,0,-10
20,10,-5
